"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt"
"Sub003_ToD_Online","OA","Night",1,"jackolantern1_tr.png",51,51,0.176468002,0.142900971,4.6212,268,0.1687473,0.151940751,"Bckg21.jpg",51,93,9,1,1,1,13,51,161,66,118,51,"jackolantern1_tr.png",1,48,48,5.2853,1,1.7321,1,1.0505
"Sub003_ToD_Online","OA","Night",1,"lei1_tr.png",52,52,0.178935091,0.139799415,8.8634,268,0.133469508,0.183705018,"Bckg119.jpg",49,5,4,1,1,1,5,49,174,32,226,49,"lei1_tr.png",1,36,36,5.7492,1,1.9064,1,1.3
"Sub003_ToD_Online","OA","Night",1,"lipstick1_tr.png",482,122,0.192567884,-0.120329769,5.1005,268,0.166069867,-0.154862657,"Bckg22.jpg",106,22,64,2,1,1,80,106,284,129,228,106,"lipstick1_tr.png",1,133,133,4.4685,1,2.2649,1,2.0349
"Sub003_ToD_Online","OA","Night",1,"mouthwash1_tr.png",347,347,-0.051080061,0.221252052,5.5529,268,0.007924695,0.226933564,"Bckg109.jpg",352,100,111,3,1,1,86,352,115,250,226,352,"mouthwash1_tr.png",1,362,2,4.8493,1,1.686,1,0.6513
"Sub003_ToD_Online","OA","Night",1,"nailpolish1_tr.png",290,290,-0.213377779,0.07766316,5.0153,268,-0.213377779,0.07766316,"Bckg84.jpg",301,32,25,1,1,1,20,301,148,320,226,301,"nailpolish1_tr.png",1,290,290,5.249,1,1.7783,1,1.0667
"Sub003_ToD_Online","OA","Night",1,"paintpalette1_tr.png",255,255,-0.219334603,-0.05877053,3.6237,268,-0.226933564,0.007924695,"Bckg56.jpg",259,16,101,3,1,1,119,259,311,154,192,259,"paintpalette1_tr.png",1,272,272,5.4309,1,1.5464,1,0.9708
"Sub003_ToD_Online","OA","Night",1,"pan1_tr.png",145,145,0.130243085,-0.186006403,3.0951,268,0.139799415,-0.178935091,"Bckg58.jpg",133,116,109,3,1,1,97,133,89,30,229,133,"pan1_tr.png",1,142,142,4.9308,1,1.7403,2,1.2848
"Sub003_ToD_Online","OA","Night",1,"pinecone1_tr.png",168,168,0.047210901,-0.222109824,3.7144,268,0.03552187,-0.224276258,"Bckg10.jpg",167,55,117,3,1,1,95,167,204,167,102,167,"pinecone1_tr.png",1,171,171,3.811,1,1.28,1,0.8568
"Sub003_ToD_Online","OA","Night",1,"potatochips1_tr.png",372,12,0.047210901,0.222109824,5.4178,268,0.023735476,0.225827966,"Bckg124.jpg",13,81,41,2,1,1,78,13,164,112,355,13,"potatochips1_tr.png",1,6,6,5.1486,1,1.2391,1,1.1168
"Sub003_ToD_Online","OA","Night",1,"present1_tr.png",187,187,-0.027673102,-0.225379331,4.5984,268,-0.007924695,-0.226933564,"Bckg121.jpg",184,46,74,2,1,1,52,184,45,118,188,184,"present1_tr.png",1,182,182,7.0583,1,2.51,1,1.5213
"Sub003_ToD_Online","OA","Night",1,"radish1_tr.png",209,209,-0.110086637,-0.19860155,3.9678,268,-0.120329769,-0.192567884,"Bckg112.jpg",221,14,43,2,1,1,61,221,203,64,59,221,"radish1_tr.png",1,212,212,4.6973,1,1.4079,1,0.7148
"Sub003_ToD_Online","OA","Night",1,"ricecooker1_tr.png",22,22,0.085062627,0.21053739,5.0161,268,0.081375288,0.211989872,"Bckg102.jpg",14,19,54,2,1,1,46,14,178,267,92,14,"ricecooker1_tr.png",1,381,21,4.8878,1,1.3448,1,0.983
"Sub003_ToD_Online","OA","Night",1,"seashell1_tr.png",212,212,-0.120329769,-0.192567884,5.8656,268,-0.157737389,-0.163341848,"Bckg8.jpg",205,13,12,1,1,1,2,205,224,134,59,205,"seashell1_tr.png",1,224,224,4.6193,1,2.1824,1,1.1179
"Sub003_ToD_Online","OA","Night",1,"silvertray1_tr.png",287,287,-0.217149928,0.066389396,5.2144,268,-0.22289994,-0.043327359,"Bckg64.jpg",288,6,46,2,1,1,49,288,241,343,248,288,"silvertray1_tr.png",1,259,259,4.6171,1,2.0436,1,0.8012
"Sub003_ToD_Online","OA","Night",1,"sink1_tr.png",169,169,0.043327359,-0.22289994,4.3181,268,0.142900971,-0.176468002,"Bckg32.jpg",178,112,102,3,1,1,84,178,267,137,336,178,"sink1_tr.png",1,141,141,2.6447,1,1.619,1,1.0231
"Sub003_ToD_Online","OA","Night",1,"sippycup1_tr.png",116,116,0.204090863,-0.099541765,3.9623,268,0.19860155,-0.110086637,"Bckg105.jpg",107,106,37,1,1,1,15,107,24,15,204,107,"sippycup1_tr.png",1,119,119,10.218,1,2.5766,1,1.5593
"Sub003_ToD_Online","OA","Night",1,"skippingrope1_tr.png",49,49,0.171373331,0.148972564,5.6064,268,0.160564073,-0.160564073,"Bckg7.jpg",60,45,15,1,1,1,28,60,87,213,277,60,"skippingrope1_tr.png",1,135,135,6.6481,1,1.6978,1,0.9195
"Sub003_ToD_Online","OA","Night",1,"slide1_tr.png",38,38,0.139799415,0.178935091,2.635,268,0.160564073,-0.160564073,"Bckg94.jpg",44,44,63,2,1,1,63,44,4,217,28,44,"slide1_tr.png",1,495,135,10.9211,1,1.3674,2,1.2342
"Sub003_ToD_Online","OA","Night",1,"spoon1_tr.png",511,151,0.110086637,-0.19860155,5.2,268,0.103088481,-0.202322535,"Bckg67.jpg",161,10,16,1,1,1,34,161,301,195,183,161,"spoon1_tr.png",1,153,153,5.0631,1,2.413,1,1.0272
"Sub003_ToD_Online","OA","Night",1,"steeringwheel1_tr.png",222,222,-0.151940751,-0.1687473,4.3009,268,-0.160564073,-0.160564073,"Bckg62.jpg",229,90,61,2,1,1,74,229,132,225,181,229,"steeringwheel1_tr.png",1,225,225,2.851,1,1.3365,1,0.9358
"Sub003_ToD_Online","OA","Night",1,"stoplights1_tr.png",216,216,-0.133469508,-0.183705018,3.0987,268,-0.145958997,-0.17394716,"Bckg53.jpg",219,60,88,3,1,1,115,219,214,124,240,219,"stoplights1_tr.png",1,220,220,4.6669,1,1.4547,1,0.6052
"Sub003_ToD_Online","OA","Night",1,"streamer1_tr.png",-31,329,-0.116950669,0.194638599,4.6144,268,-0.092358458,0.207440494,"Bckg4.jpg",338,35,87,3,1,1,101,338,69,290,195,338,"streamer1_tr.png",1,336,336,3.6327,1,1.314,1,0.7857
