"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3"
"Sub057_ToD_Online","OA","Morning","27/10/24",52.9487179487179,48.5333333333333,46.9090909090909,63.1538461538462,-14.0769230769231,-2.93333333333333,-7.81818181818182,-32.2307692307692
"Sub058_ToD_Online","OA","Morning","27/10/24",78.94,88.4666666666667,77.5625,72.5789473684211,-33.38,-78.8666666666667,-11.6875,-15.7368421052632
"Sub059_ToD_Online","OA","Morning","27/10/24",6.15254237288136,5.21052631578947,7.15,6.05,-0.525423728813559,-0.0526315789473684,-0.55,-0.95
"Sub060_ToD_Online","OA","Morning","28/10/24",51.0363636363636,63.0588235294118,43.4736842105263,47.8421052631579,-14.5272727272727,-27.6470588235294,13.4736842105263,-30.7894736842105
"Sub061_ToD_Online","YA","Morning","28/10/24",25.7959183673469,14.4375,33.6875,29.0588235294118,-1.30612244897959,-0.0625,-5.1875,1.17647058823529
"Sub062_ToD_Online","YA","Night","28/10/24",27.5208333333333,25.4736842105263,35.875,20.2307692307692,4.64583333333333,8.63157894736842,0.5,3.92307692307692
"Sub063_ToD_Online","YA","Night","28/10/24",22.6279069767442,30.9411764705882,12.7692307692308,21.6153846153846,-2.06976744186047,-2,9.53846153846154,-13.7692307692308
"Sub064_ToD_Online","YA","Night","28/10/24",49.0454545454545,55.3125,55.0666666666667,34.3846153846154,0.590909090909091,-21.9375,22.4,3.15384615384615
"Sub065_ToD_Online","YA","Night","28/10/24",51.6415094339623,42.0526315789474,59.6111111111111,54.0625,-0.320754716981132,-14.3684210526316,0.0555555555555556,15.9375
"Sub066_ToD_Online","YA","Night","28/10/24",51.5438596491228,54.45,62.7368421052632,36.5,19.6491228070175,13.75,41.4736842105263,3.16666666666667
"Sub068_ToD_Online","OA","Night","28/10/24",42.0943396226415,37.875,53.0555555555556,35.2631578947368,9.49056603773585,10,-1.61111111111111,19.5789473684211
"Sub069_ToD_Online","OA","Night","28/10/24",89.5438596491228,98.2352941176471,75,96.7,2.94736842105263,6.94117647058824,35.7,-33.2
