"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_block1","CorrectRecallOld_block2","CorrectRecallOld_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_block1","ForgetRecallOld_block2","ForgetRecallOld_block3","ForgetRecallOld_blockOverall","CorrectRecallNew_block1","CorrectRecallNew_block2","CorrectRecallNew_block3","CorrectRecallNew_blockOverall","NewRecallOld_block1","NewRecallOld_block2","NewRecallOld_block3","NewRecallOld_blockOverall"
"Sub021_ToD_Online","YA","Morning","25/10/24",31.1228070175439,51.3888888888889,33.6,9.31578947368421,-3.2280701754386,-5.27777777777778,-7.2,2.89473684210526,4.50877192982456,4.27777777777778,4.4,4.84210526315789,1.35087719298246,2.05555555555556,0.5,1.57894736842105,18,20,19,57,2,0,1,3,8,8,8,24,0,0,0,0
"Sub022_ToD_Online","YA","Morning","25/10/24",37.5,21.3333333333333,66.2,32.5555555555556,-0.852941176470588,-1.46666666666667,0.2,-1,8.11764705882353,5.13333333333333,15.8,4.55555555555556,4.94117647058824,3,9.8,2.77777777777778,15,10,9,34,5,10,11,26,8,9,7,24,0,0,0,0
"Sub023_ToD_Online","YA","Morning","25/10/24",35.1463414634146,13.7692307692308,44.2307692307692,45.8,1.63414634146341,-2.07692307692308,-10.3846153846154,15.2666666666667,6.53658536585366,7.30769230769231,8.53846153846154,4.13333333333333,0.146341463414634,-0.0769230769230769,1.46153846153846,-0.8,13,13,15,41,7,7,5,19,8,7,7,22,0,2,0,2
"Sub024_ToD_Online","YA","Night","25/10/24",20.5,29.1,13.8333333333333,16.7857142857143,3.15384615384615,22.4,-4.61111111111111,-14.3571428571429,4,3.8,4.88888888888889,3.14285714285714,-0.115384615384615,-1.9,1.44444444444444,0.428571428571429,20,18,14,52,0,2,6,8,7,8,7,22,1,1,0,2
"Sub025_ToD_Online","YA","Night","25/10/24",13.3728813559322,13.5263157894737,13.7,12.9,1.91525423728814,2.68421052631579,3.1,0,12.7118644067797,12.3157894736842,14.8,11,3.28813559322034,-0.315789473684211,7.1,2.9,19,20,20,59,1,0,0,1,8,8,8,24,0,0,0,0
"Sub026_ToD_Online","YA","Night","25/10/24",72.6060606060606,86.3636363636364,61.4615384615385,71.8888888888889,2.48484848484848,7.27272727272727,14.3846153846154,-20.5555555555556,4.75757575757576,5.27272727272727,4.76923076923077,4.11111111111111,0.818181818181818,2,0.615384615384615,-0.333333333333333,11,13,9,33,8,7,11,26,7,6,7,20,0,2,1,3
"Sub027_ToD_Online","YA","Morning","26/10/24",15.4565217391304,19,9.625,17.9166666666667,-3.41304347826087,1.33333333333333,-1.875,-12.5833333333333,2.91304347826087,2.05555555555556,4.375,2.25,-1.26086956521739,-0.388888888888889,-3.25,0.0833333333333333,18,16,12,46,2,4,8,14,8,8,8,24,0,0,0,0
"Sub028_ToD_Online","YA","Morning","26/10/34",67.5277777777778,54.9090909090909,57.5384615384615,89.9166666666667,-4.63888888888889,-33.6363636363636,33.0769230769231,-18.9166666666667,7.91666666666667,6,7.92307692307692,9.66666666666667,-1.97222222222222,-3.63636363636364,-2.53846153846154,0.166666666666667,11,13,12,36,9,7,8,24,8,8,7,23,0,0,1,1
"Sub029_ToD_Online","YA","Morning","26/10/24",38.6279069767442,50.4705882352941,27.5,36.3,-5.37209302325581,-9.64705882352941,-4.25,0.1,8.34883720930233,9.41176470588235,8.0625,7,-1.7906976744186,0.470588235294118,-3.9375,-2.2,17,16,10,43,3,4,10,17,7,8,8,23,1,0,0,1
"Sub030_ToD_Online","YA","Morning","27/10/24",101.969696969697,96,107.583333333333,101.272727272727,-3.42424242424242,-26.6,0.916666666666667,12.9090909090909,13.4848484848485,19.4,12.8333333333333,8.81818181818182,-5.48484848484848,-10.8,-7.16666666666667,1.18181818181818,10,12,11,33,6,8,9,23,5,8,7,20,1,1,0,2
"Sub031_ToD_Online","YA","Morning","27/10/24",86.5957446808511,83.2,81.6875,94.6875,-23.4042553191489,6.4,-3.6875,-71.0625,8.14893617021277,4.13333333333333,7.375,12.6875,4.06382978723404,1.33333333333333,5.375,5.3125,15,16,16,47,5,4,4,13,7,8,5,20,1,1,2,4
"Sub032_ToD_Online","YA","Morning","27/10/24",73.8285714285714,61.2,78.0769230769231,79.75,-3.6,13.8,-1.15384615384615,-20.75,6.62857142857143,6.3,7.07692307692308,6.41666666666667,0.742857142857143,0.3,3.07692307692308,-1.41666666666667,10,13,12,35,10,7,8,25,8,9,7,24,0,0,0,0
"Sub033_ToD_Online","YA","Morning","27/10/24",59.304347826087,79.3846153846154,51.6470588235294,51.125,3.47826086956522,9.53846153846154,-9.64705882352941,12.5,6.23913043478261,6.61538461538461,5.64705882352941,6.5625,-0.673913043478261,-3.23076923076923,-1.41176470588235,2.1875,13,17,16,46,7,3,4,14,7,8,8,23,1,0,0,1
