"participant","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier"
"Sub048_ToD",6.41666666666667,-1.20833333333333,FALSE,31.8541666666667,-0.6875,FALSE,"Overall",48,12,24,0,"YA","Night","Julia",0.123749810018455,-0.123749810018455,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0,0.8,0.123749810018455,-0.72334293998822,0.367302159027105,FALSE,FALSE,FALSE
"Sub049_ToD",7.28571428571429,-2.0952380952381,FALSE,65.9761904761905,-7.35714285714286,FALSE,"Overall",42,18,23,1,"OA","Night","Julia",-0.933059789737338,0.933059789737338,-0.0422733360495629,0.0422733360495619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,0.0416666666666667,0.658333333333333,-0.933059789737338,0.0422733360495619,-0.855839098891294,FALSE,FALSE,FALSE
"Sub050_ToD",4.48148148148148,-0.851851851851852,FALSE,28.4259259259259,-14.462962962963,FALSE,"Overall",54,6,24,0,"YA","Morning","Julia",0.737118433588188,-0.737118433588188,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0,0.9,0.737118433588189,-0.72334293998822,0.945850637494669,FALSE,FALSE,FALSE
"Sub051_ToD",8.42857142857143,-1.19047619047619,FALSE,54.0952380952381,-1.42857142857143,FALSE,"Overall",42,18,23,1,"YA","Night","Julia",-0.489618813551279,0.489618813551278,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7,0.0416666666666667,0.658333333333333,-0.489618813551279,-0.027468719240059,-0.452308185468611,FALSE,FALSE,FALSE
"Sub052_ToD",10,-1.58139534883721,FALSE,71.1860465116279,11.046511627907,FALSE,"Overall",43,17,24,0,"YA","Morning","Julia",-0.38739070962299,0.387390709622989,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0,0.716666666666667,-0.387390709622989,-0.72334293998822,-0.114821573029198,FALSE,FALSE,FALSE
"Sub053_ToD",11.18,4.42,FALSE,68.52,12.56,FALSE,"Overall",50,10,21,3,"YA","Night","Julia",0.328206017875033,-0.328206017875033,-1.36427972225626,1.36427972225626,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,0.125,0.708333333333333,0.328206017875033,1.36427972225626,-0.163033946234829,FALSE,FALSE,FALSE
"Sub054_ToD",6.93023255813953,0.13953488372093,FALSE,48.4186046511628,-11.5348837209302,FALSE,"Overall",43,17,22,2,"OA","Morning","Julia",-0.813844314046877,0.813844314046877,-0.834898386978848,0.834898386978847,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0.0833333333333333,0.633333333333333,-0.813844314046877,0.834898386978847,-1.01711531099393,FALSE,FALSE,FALSE
"Sub055_ToD",8.4406779661017,-0.372881355932203,FALSE,73.4237288135593,9.35593220338983,FALSE,"Overall",59,1,20,4,"OA","Morning","Julia",1.09360329700049,-1.09360329700049,-2.42014848883742,2.42014848883742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0.166666666666667,0.816666666666667,1.09360329700049,2.42014848883742,0.165576911092034,FALSE,FALSE,FALSE
"Sub056_ToD",9.91525423728813,-0.457627118644068,FALSE,14.2542372881356,-1.44067796610169,FALSE,"Overall",59,1,24,0,"OA","Morning","Julia",1.09360329700049,-1.09360329700049,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0,0.983333333333333,1.09360329700049,-0.750351714879723,1.24075165844291,FALSE,FALSE,FALSE
"Sub057_ToD",6.5,-1.43333333333333,FALSE,44.4333333333333,12.3,FALSE,"Overall",30,30,24,0,"OA","Morning","Julia",-2.36364549802286,2.36364549802286,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0,0.5,-2.36364549802286,-0.750351714879723,-1.87725510887462,FALSE,FALSE,FALSE
"Sub058_ToD",5.80769230769231,0.961538461538462,FALSE,25.7307692307692,-4.88461538461539,FALSE,"Overall",52,8,24,0,"OA","Morning","Julia",0.259094967167267,-0.259094967167268,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866666666666667,0,0.866666666666667,0.259094967167268,-0.750351714879723,0.488129335297296,FALSE,FALSE,FALSE
"Sub059_ToD",5.6140350877193,-2,FALSE,30,10.5964912280702,FALSE,"Overall",57,3,24,0,"YA","Night","Julia",1.04380274537305,-1.04380274537305,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0,0.95,1.04380274537305,-0.72334293998822,1.23512487672845,FALSE,FALSE,FALSE
"Sub060_ToD",6.03030303030303,0.0303030303030303,FALSE,55.5151515151515,-1.33333333333333,FALSE,"Overall",33,27,22,2,"OA","Morning","Julia",-2.00599907095148,2.00599907095148,-0.834898386978848,0.834898386978847,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.55,0.0833333333333333,0.466666666666667,-2.00599907095148,0.834898386978847,-2.0922900583448,FALSE,FALSE,FALSE
"Sub061_ToD",4.46551724137931,-1.98275862068966,FALSE,23.5,-1.32758620689655,FALSE,"Overall",58,2,23,1,"YA","Morning","Julia",1.14603084930134,-1.14603084930134,0.0274687192400598,-0.027468719240059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0.0416666666666667,0.925,1.14603084930134,-0.027468719240059,1.09048775711156,FALSE,FALSE,FALSE
"Sub062_ToD",9.35416666666667,1.72916666666667,FALSE,31.4791666666667,9.85416666666667,FALSE,"Overall",48,12,24,0,"OA","Night","Julia",-0.217766935594575,0.217766935594574,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0,0.8,-0.217766935594574,-0.750351714879723,0.0580594363569471,FALSE,FALSE,FALSE
