"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub035_ToD","YA","Night","Julia","Overall",44.8888888888889,-6.81481481481481,FALSE
"Sub035_ToD","YA","Night","Julia","1",67.9411764705882,-17.5882352941176,FALSE
"Sub035_ToD","YA","Night","Julia","2",36.8333333333333,8.61111111111111,FALSE
"Sub035_ToD","YA","Night","Julia","3",31.8947368421053,-11.7894736842105,FALSE
"Sub036_ToD","OA","Morning","Julia","Overall",62.7209302325581,2.34883720930233,FALSE
"Sub036_ToD","OA","Morning","Julia","1",71.3846153846154,-7.07692307692308,FALSE
"Sub036_ToD","OA","Morning","Julia","2",48.8666666666667,-9.13333333333333,FALSE
"Sub036_ToD","OA","Morning","Julia","3",69.0666666666667,22,FALSE
"Sub037_ToD","OA","Morning","Julia","Overall",57.8301886792453,-5.52830188679245,FALSE
"Sub037_ToD","OA","Morning","Julia","1",59.625,-26.625,FALSE
"Sub037_ToD","OA","Morning","Julia","2",61.2631578947368,-7.78947368421053,FALSE
"Sub037_ToD","OA","Morning","Julia","3",52.6111111111111,15.6111111111111,FALSE
"Sub038_ToD","YA","Morning","Julia","Overall",37.7551020408163,3.79591836734694,FALSE
"Sub038_ToD","YA","Morning","Julia","1",55.25,22.875,FALSE
"Sub038_ToD","YA","Morning","Julia","2",33.7142857142857,1.71428571428571,FALSE
"Sub038_ToD","YA","Morning","Julia","3",26,-10.7368421052632,FALSE
"Sub039_ToD","OA","Night","Julia","Overall",53.9230769230769,16.7307692307692,FALSE
"Sub039_ToD","OA","Night","Julia","1",43.2941176470588,13.7647058823529,FALSE
"Sub039_ToD","OA","Night","Julia","2",69.2222222222222,25.4444444444444,FALSE
"Sub039_ToD","OA","Night","Julia","3",48.3529411764706,10.4705882352941,FALSE
"Sub040_ToD","OA","Night","Julia","Overall",53.5957446808511,5.21276595744681,FALSE
"Sub040_ToD","OA","Night","Julia","1",83.7857142857143,4.07142857142857,FALSE
