"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_learning","minavg_learning","outlier_Learning_Age"
"Sub050_ToD","YA","Morning","Julia","3",4.83333333333333,-2.05555555555556,FALSE
"Sub051_ToD","YA","Night","Julia","Overall",8.42857142857143,-1.19047619047619,FALSE
"Sub051_ToD","YA","Night","Julia","1",9.30769230769231,-3.15384615384615,FALSE
"Sub051_ToD","YA","Night","Julia","2",9.5,-2.64285714285714,FALSE
"Sub051_ToD","YA","Night","Julia","3",6.66666666666667,1.86666666666667,FALSE
"Sub052_ToD","YA","Morning","Julia","Overall",10,-1.58139534883721,FALSE
"Sub052_ToD","YA","Morning","Julia","1",9.38461538461539,0.615384615384615,FALSE
"Sub052_ToD","YA","Morning","Julia","2",9.64285714285714,-1.21428571428571,FALSE
"Sub052_ToD","YA","Morning","Julia","3",10.8125,-3.6875,FALSE
"Sub053_ToD","YA","Night","Julia","Overall",11.18,4.42,FALSE
"Sub053_ToD","YA","Night","Julia","1",12.2666666666667,4.66666666666667,FALSE
"Sub053_ToD","YA","Night","Julia","2",11.4210526315789,2.57894736842105,FALSE
"Sub053_ToD","YA","Night","Julia","3",9.875,6.375,FALSE
"Sub054_ToD","OA","Morning","Julia","Overall",6.93023255813953,0.13953488372093,FALSE
"Sub054_ToD","OA","Morning","Julia","1",10.5,0.5,FALSE
"Sub054_ToD","OA","Morning","Julia","2",7.23529411764706,-2.05882352941176,FALSE
"Sub054_ToD","OA","Morning","Julia","3",4.375,2.25,FALSE
"Sub055_ToD","OA","Morning","Julia","Overall",8.4406779661017,-0.372881355932203,FALSE
"Sub055_ToD","OA","Morning","Julia","1",8.4,-0.7,FALSE
"Sub055_ToD","OA","Morning","Julia","2",8.7,-3.9,FALSE
"Sub055_ToD","OA","Morning","Julia","3",8.21052631578947,3.68421052631579,FALSE
"Sub056_ToD","OA","Morning","Julia","Overall",9.91525423728813,-0.457627118644068,FALSE
"Sub056_ToD","OA","Morning","Julia","1",9.73684210526316,2.05263157894737,FALSE
"Sub056_ToD","OA","Morning","Julia","2",10.2,-1.3,FALSE
"Sub056_ToD","OA","Morning","Julia","3",9.8,-2,FALSE
"Sub057_ToD","OA","Morning","Julia","Overall",6.5,-1.43333333333333,FALSE
"Sub057_ToD","OA","Morning","Julia","1",7.09090909090909,-0.727272727272727,FALSE
"Sub057_ToD","OA","Morning","Julia","2",6.2,0,FALSE
"Sub057_ToD","OA","Morning","Julia","3",6.11111111111111,-3.88888888888889,FALSE
"Sub058_ToD","OA","Morning","Julia","Overall",5.80769230769231,0.961538461538462,FALSE
"Sub058_ToD","OA","Morning","Julia","1",7.52941176470588,1.88235294117647,FALSE
"Sub058_ToD","OA","Morning","Julia","2",5.33333333333333,0.222222222222222,FALSE
"Sub058_ToD","OA","Morning","Julia","3",4.58823529411765,0.823529411764706,FALSE
"Sub059_ToD","YA","Night","Julia","Overall",5.6140350877193,-2,FALSE
"Sub059_ToD","YA","Night","Julia","1",3.88888888888889,-3.33333333333333,FALSE
"Sub059_ToD","YA","Night","Julia","2",5.8,2.9,FALSE
"Sub059_ToD","YA","Night","Julia","3",7.05263157894737,-5.89473684210526,FALSE
"Sub060_ToD","OA","Morning","Julia","Overall",6.03030303030303,0.0303030303030303,FALSE
"Sub060_ToD","OA","Morning","Julia","1",5.8,2.2,FALSE
"Sub060_ToD","OA","Morning","Julia","2",4.5,-2.1,FALSE
"Sub060_ToD","OA","Morning","Julia","3",8.375,-1.375,FALSE
"Sub061_ToD","YA","Morning","Julia","Overall",4.46551724137931,-1.98275862068966,FALSE
"Sub061_ToD","YA","Morning","Julia","1",4.77777777777778,-2.22222222222222,FALSE
"Sub061_ToD","YA","Morning","Julia","2",3.7,-2.7,FALSE
"Sub061_ToD","YA","Morning","Julia","3",4.95,-1.05,FALSE
"Sub062_ToD","OA","Night","Julia","Overall",9.35416666666667,1.72916666666667,FALSE
"Sub062_ToD","OA","Night","Julia","1",8.33333333333333,1,FALSE
"Sub062_ToD","OA","Night","Julia","2",10,0.823529411764706,FALSE
"Sub062_ToD","OA","Night","Julia","3",9.625,3.375,FALSE
"Sub063_ToD","YA","Night","Julia","Overall",7.61904761904762,-2.57142857142857,FALSE
"Sub063_ToD","YA","Night","Julia","1",8.5,-8.5,FALSE
"Sub063_ToD","YA","Night","Julia","2",8.55555555555556,0.333333333333333,FALSE
"Sub063_ToD","YA","Night","Julia","3",5.33333333333333,-1,FALSE
"Sub064_ToD","OA","Night","Julia","Overall",7.66666666666667,-0.777777777777778,FALSE
"Sub064_ToD","OA","Night","Julia","1",8.58333333333333,-3.41666666666667,FALSE
"Sub064_ToD","OA","Night","Julia","2",7.94117647058824,4.64705882352941,FALSE
"Sub064_ToD","OA","Night","Julia","3",6.6875,-4.5625,FALSE
"Sub065_ToD","YA","Morning","Julia","Overall",73.4545454545455,-1.77272727272727,TRUE
"Sub065_ToD","YA","Morning","Julia","1",80.2666666666667,-0.533333333333333,TRUE
"Sub065_ToD","YA","Morning","Julia","2",72.1875,20.9375,TRUE
