"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub119_ToD","OA","Morning","Julia",FALSE,7.30188679245283,5.52941176470588,11.5882352941176,5.05263157894737,-0.924528301886792,1.17647058823529,-2.17647058823529,-1.68421052631579
"Sub120_ToD","YA","Night","Julia",FALSE,6.48780487804878,8.2,7.46153846153846,3.53846153846154,-1.36585365853659,-4.73333333333333,1.61538461538462,-0.461538461538462
"Sub121_ToD","OA","Night","Julia",FALSE,7,8.33333333333333,8.18181818181818,4.92857142857143,0.297297297297297,-2.33333333333333,1.45454545454545,1.64285714285714
"Sub122_ToD","YA","Night","Julia",FALSE,15.0454545454545,20.2727272727273,11.375,5.66666666666667,8.40909090909091,13.9090909090909,6.125,-5.66666666666667
"Sub123_ToD","OA","Morning","Julia",FALSE,6.27906976744186,7.41666666666667,6,5.6875,1.02325581395349,0.25,3.73333333333333,-0.9375
"Sub124_ToD","YA","Night","Julia",FALSE,3.38333333333333,3.3,3.8,3.05,0.15,-0.8,1.7,-0.45
"Sub125_ToD","YA","Night","Maheria",FALSE,5.06818181818182,3.41666666666667,4.82352941176471,6.66666666666667,-1.47727272727273,-2.08333333333333,-2,-0.4
"Sub126_ToD","OA","Morning","Maheria",FALSE,5.61764705882353,6,5.66666666666667,5.28571428571429,-0.205882352941176,-1.09090909090909,3,-1.57142857142857
"Sub127_ToD","OA","Morning","Maheria",FALSE,10.6595744680851,7.26666666666667,11.7647058823529,12.8,2.61702127659574,2.33333333333333,3.88235294117647,1.46666666666667
"Sub128_ToD","YA","Morning","Maheria",FALSE,5.56,7.23529411764706,4.46666666666667,4.88888888888889,-0.44,0.176470588235294,0.333333333333333,-1.66666666666667
"Sub129_ToD","OA","Night","Maheria",FALSE,5.6875,3.5,5.05555555555556,8.3125,1.1875,-0.214285714285714,1.05555555555556,2.5625
"Sub130_ToD","YA","Morning","Maheria",FALSE,7.51063829787234,7,9.4,6.25,-0.0638297872340425,-3.125,2.73333333333333,0.375
"Sub131_ToD","OA","Morning","Maheria",FALSE,4.16666666666667,3.5,3.42857142857143,5.3125,1.64285714285714,2.66666666666667,0.714285714285714,1.6875
