"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","collected_by"
"Sub001_ToD","YA","Night",1,"turtle1_tr.png",223,223,-0.150083867,-0.160945243,1.6251,37,NA,NA,"Bckg44.jpg",223,61,102,3,1,1,103,223,185,158,305,223,"turtle1_tr.png",1,158,158,0.5343,1,1.1455,2,0.645,"Julia"
"Sub001_ToD","YA","Night",1,"umbrella1_tr.png",138,138,0.147252127,-0.163540055,2.1019,37,NA,NA,"Bckg50.jpg",134,101,104,3,1,1,86,134,64,344,85,134,"umbrella1_tr.png",1,344,344,0.4279,1,2.6024,2,0.6718,"Julia"
"Sub001_ToD","YA","Night",1,"valentinesdaycard1_tr.png",334,334,-0.096470081,0.197792977,3.355,37,-0.034425727,0.217355487,"Bckg111.jpg",338,26,35,1,1,1,14,338,234,203,108,338,"valentinesdaycard1_tr.png",1,-9,351,4.7398,1,1.6089,1,0.3277,"Julia"
"Sub001_ToD","YA","Night",1,"wagon1_tr.png",83,83,0.21842452,0.026819159,1.875,37,0.22006485,0,"Bckg47.jpg",95,38,28,1,1,1,36,95,87,36,143,95,"wagon1_tr.png",1,90,90,3.1105,1,1.7597,1,0.435,"Julia"
"Sub001_ToD","YA","Night",1,"watch1_tr.png",133,133,0.160945243,-0.150083867,1.8957,37,NA,NA,"Bckg117.jpg",119,43,44,2,1,1,76,119,181,237,158,119,"watch1_tr.png",1,237,237,1.4226,1,1.2671,2,0.6391,"Julia"
"Sub001_ToD","YA","Night",1,"wheelchair1_tr.png",174,174,0.023003041,-0.218859312,1.5374,37,0.186625577,0.116616603,"Bckg80.jpg",171,52,59,2,1,1,72,171,180,294,263,171,"wheelchair1_tr.png",1,418,58,3.6178,1,1.3413,1,0.637,"Julia"
"Sub001_ToD","YA","Night",1,"wisk1_tr.png",-44,316,-0.15286989,0.158301405,5.1633,37,0.180266572,0.126224012,"Bckg95.jpg",315,23,20,1,1,1,5,315,150,163,135,315,"wisk1_tr.png",1,55,55,2.3465,1,1.6942,2,0.47,"Julia"
"Sub002_ToD","OA","Night",1,"apple1_tr.png",347,347,NA,NA,1.329400001,141,NA,NA,"Bckg81.jpg",114,62,34,1,1,1,16,114,347,32,264,114,"apple1_tr.png",1,32,32,5.0385,1,2.6623,1,1.3476,NA
"Sub002_ToD","OA","Night",1,"bagel1_tr.png",243,243,NA,NA,5.0326,141,NA,NA,"Bckg43.jpg",246,20,58,2,1,1,42,246,243,284,250,246,"bagel1_tr.png",1,284,284,2.488400001,1,2.539200001,1,2.578200001,NA
"Sub002_ToD","OA","Night",1,"banana1_tr.png",235,235,-0.18152216,-0.127103185,5.1496,141,NA,NA,"Bckg93.jpg",44,114,88,3,1,1,101,44,233,78,338,44,"banana1_tr.png",1,78,78,2.6856,1,2.7759,2,1.550400001,NA
"Sub002_ToD","OA","Night",1,"bandaid1_tr.png",143,143,NA,NA,0.0322,141,NA,NA,"Bckg45.jpg",246,107,48,2,1,1,75,246,143,243,11,246,"bandaid1_tr.png",1,243,243,2.1579,1,2.7249,1,2.7503,NA
"Sub002_ToD","OA","Night",1,"bathingsuit1_tr.png",311,311,NA,NA,3.7648,141,NA,NA,"Bckg19.jpg",288,65,4,1,1,1,30,288,311,51,176,288,"bathingsuit1_tr.png",1,51,51,2.5625,1,3.705,2,2.610799999,NA
"Sub002_ToD","OA","Night",1,"bbqmachine1_tr.png",331,331,NA,NA,3.7553,141,NA,NA,"Bckg48.jpg",172,40,113,3,1,1,97,172,331,332,338,172,"bbqmachine1_tr.png",1,332,332,2.639599999,1,2.4034,1,1.4987,NA
"Sub002_ToD","OA","Night",1,"bell1_tr.png",287,287,NA,NA,0.0364,141,NA,NA,"Bckg36.jpg",349,78,72,2,1,1,79,349,287,282,294,349,"bell1_tr.png",1,282,282,2.6627,1,2.3998,1,1.4203,NA
"Sub002_ToD","OA","Night",1,"binder1_tr.png",238,238,-0.187925457,-0.117428858,4.9555,141,NA,NA,"Bckg82.jpg",91,21,60,2,1,1,45,91,236,320,312,91,"binder1_tr.png",1,320,320,2.5286,1,2.5562,2,1.3296,NA
"Sub002_ToD","OA","Night",1,"bird1_tr.png",118,118,NA,NA,2.5934,141,NA,NA,"Bckg2.jpg",39,72,10,1,1,1,13,39,118,137,33,39,"bird1_tr.png",1,137,137,3.8896,1,1.4735,1,2.7924,NA
"Sub002_ToD","OA","Night",1,"bottleofwine1_tr.png",57,57,0.185847419,0.120690725,3.7562,141,NA,NA,"Bckg29.jpg",126,71,85,3,1,1,113,126,55,131,270,126,"bottleofwine1_tr.png",1,131,131,2.2993,1,4.0193,1,2.3395,NA
"Sub002_ToD","OA","Night",1,"bow1_tr.png",309,309,-0.172213711,0.139455913,3.7508,141,NA,NA,"Bckg54.jpg",172,67,27,1,1,1,33,172,311,5,258,172,"bow1_tr.png",1,5,5,3.7646,1,2.4266,1,1.336,NA
"Sub002_ToD","OA","Night",1,"bowlingpin1_tr.png",215,215,-0.127103185,-0.18152216,5.0927,141,NA,NA,"Bckg34.jpg",301,48,68,2,1,1,60,301,219,51,324,301,"bowlingpin1_tr.png",1,51,51,3.9919,1,3.6774,2,3.9665,NA
"Sub002_ToD","OA","Night",1,"boxinggloves1_tr.png",159,159,NA,NA,2.5485,141,NA,NA,"Bckg131.jpg",276,95,82,3,1,1,83,276,159,125,149,276,"boxinggloves1_tr.png",1,125,125,5.0089,1,2.5382,2,2.787900001,NA
"Sub002_ToD","OA","Night",1,"cabinet1_tr.png",291,291,NA,NA,3.9032,141,NA,NA,"Bckg13.jpg",355,110,70,2,1,1,70,355,291,250,164,355,"cabinet1_tr.png",1,250,250,1.4632,1,2.486,2,1.4309,NA
"Sub002_ToD","OA","Night",1,"christmasstocking1_tr.png",322,322,NA,NA,2.6878,141,NA,NA,"Bckg136.jpg",165,50,24,1,1,1,4,165,322,246,121,165,"christmasstocking1_tr.png",1,246,246,2.561,1,1.4067,2,1.342599999,NA
"Sub002_ToD","OA","Night",1,"clock1_tr.png",128,128,NA,NA,1.328900001,141,NA,NA,"Bckg137.jpg",133,76,75,2,1,1,64,133,128,1,280,133,"clock1_tr.png",1,1,1,4.901400001,1,2.3951,1,1.285,NA
"Sub002_ToD","OA","Night",1,"coffeemug1_tr.png",253,253,NA,NA,6.0636,141,NA,NA,"Bckg20.jpg",325,70,110,3,1,1,92,325,253,113,22,325,"coffeemug1_tr.png",1,113,113,3.4286,1,2.0275,2,2.281099999,NA
"Sub002_ToD","OA","Night",1,"coke1_tr.png",31,31,NA,NA,1.3869,141,NA,NA,"Bckg78.jpg",322,74,31,1,1,1,40,322,31,323,307,322,"coke1_tr.png",1,323,323,3.899599999,1,2.5501,2,1.5218,NA
"Sub002_ToD","OA","Night",1,"crayon1_tr.png",220,220,NA,NA,0.0365,141,NA,NA,"Bckg87.jpg",267,33,49,2,1,1,59,267,220,22,283,267,"crayon1_tr.png",1,22,22,2.6134,1,2.514,2,1.391,NA
"Sub002_ToD","OA","Night",1,"dress1_tr.png",239,239,NA,NA,2.5108,141,NA,NA,"Bckg96.jpg",83,51,77,2,1,1,66,83,239,71,9,83,"dress1_tr.png",1,71,71,2.5614,1,2.498900001,2,1.3986,NA
"Sub002_ToD","OA","Night",1,"eggs1_tr.png",124,124,NA,NA,4.0982,141,NA,NA,"Bckg132.jpg",84,28,67,2,1,1,47,84,124,265,170,84,"eggs1_tr.png",1,265,265,2.6875,1,2.4168,2,2.5033,NA
"Sub002_ToD","OA","Night",1,"fireextinguisher1_tr.png",212,212,NA,NA,2.9565,141,NA,NA,"Bckg88.jpg",294,85,22,1,1,1,24,294,212,94,215,294,"fireextinguisher1_tr.png",1,94,94,3.8319,1,2.5475,2,1.4707,NA
"Sub002_ToD","OA","Night",1,"goggle1_tr.png",159,159,0.079413492,-0.206879219,4.0532,141,NA,NA,"Bckg120.jpg",25,96,102,3,1,1,112,25,157,292,131,25,"goggle1_tr.png",1,292,292,2.0717,1,2.8652,2,1.1566,NA
"Sub002_ToD","OA","Night",1,"hairdryer1_tr.png",52,52,NA,NA,3.9145,141,NA,NA,"Bckg79.jpg",63,73,32,1,1,1,7,63,52,27,90,63,"hairdryer1_tr.png",1,27,27,4.9885,1,2.3982,1,4.0818,NA
